GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
NUTOVERWEIGHTPREV,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), model-based estimates",,2019,2019,2019,EMR,Eastern Mediterranean,SDN,Sudan,,,,2.5,2.5 [1.6-3.7],1.6,3.7
vita,Children aged 6-59 months who received vitamin A supplementation (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ2,Q2,,No data,,
RSUD_670,Treatment programmes for women with drug use disorders,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,RSUDTREATMENTLOCATION,RSUDTREATMENTLOCATION_IN_THE_CAPITAL_CITY,In the capital city,,No,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,1991,1991,1991,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,,No data,,
RS_576,Gross national income per capita (Atlas method),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,,,,1300.0,1 300,,
P1_compliance,Compliance of ban on smoking in HEALTH-CARE FACILITIES,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Not applicable,,
E15_sponsored_events,Sponsored events,,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,2015,2015,2015,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,,No data,,
vpolio,Polio immunization coverage among one-year-olds (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201008,white nile,69.82886,69.8 [61.6-76.9],61.61595,76.94209
TB_ps_prev_bc_100k_byagegroup_sp,"Prevalence of bacteriologically-confirmed pulmonary TB who are smear positive among those aged ≥15 years, per 100,000 population by age group",,2013,2013,2013,EMR,Eastern Mediterranean,SDN,Sudan,AGEGROUP,AGEGROUP_YEARS15-24,15-24 years of age,28.0,28 [9-82],9.0,82.0
CHILDMORT_DEATHS_10TO14,Number of deaths among children ages 10 to 14 years,,2016,2016,2016,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,1232.0,1 232 [229-2 919],229.0,2919.0
NTD_LEISHCNUM_IM,Number of imported cases of cutaneous leishmaniasis reported,,2020,2020,2020,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No data,,
CHILDMORT_DEATHS_10TO14,Number of deaths among children ages 10 to 14 years,,2016,2016,2016,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,2971.0,2 971 [0-6 899],0.0,6899.0
NCD_HYP_DIAGNOSIS_C,"Prevalence of previous diagnosis of hypertension among adults aged 30-79 with hypertension, crude",,1999,1999,1999,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,13.6,13.6 [6.2-24.5],6.2,24.5
sba,Births attended by skilled health personnel (in the two or three years preceding the survey) (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE09,Decile 9,95.20847,95.2 [92.2-97.1],92.19527,97.09502
ort,Children aged < 5 years with diarrhoea receiving oral rehydration therapy and continued feeding (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,AGEGROUP,AGEGROUP_YEARS15-19,15-19 years of age,,No data,,
BP_05,Mean systolic blood pressure (crude estimate),,1986,1986,1986,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,127.5,127.5 [120.2-134.7],120.2,134.7
u5mr,Under-five mortality rate (deaths per 1000 live births),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE10,Decile 10 (richest),37.34614,37.3 [24.2-50.5],24.1811,50.51118
NTD_LEISHCNUM,Number of cases of cutaneous leishmaniasis reported,,2022,2022,2022,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No data,,
SA_0000001400_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",,1982,1982,1982,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,All types,0.19,0.19,,
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ1,Q1 (Poorest),31.88943,31.9 [27.5-36.7],27.47128,36.659
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201407,gezira,50.49161,50.5 [43.3-57.7],43.27818,57.68463
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,2004,2004,2004,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,,No data,,
NUT_BF_EBF,Exclusive breastfeeding under six months,,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,40.0,40.0 [34.0-46.4],34.0,46.4
NUT_CF_EFF,Egg and/or Flesh Food Consumption 6-23 months,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,EDUCATIONLEVEL,EDUCATIONLEVEL_NHLM,None,32.7,32.7 [29.2-36.4],29.2,36.4
NCD_HYP_PREVALENCE_A,"Prevalence of hypertension among adults aged 30-79 years, age-standardized",,1994,1994,1994,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,38.7,38.7 [26.6-51.7],26.6,51.7
BP_06,Mean systolic blood pressure (age-standardized estimate),,1989,1989,1989,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,,No data,,
NCD_HYP_PREVALENCE_A,"Prevalence of hypertension among adults aged 30-79 years, age-standardized",,2017,2017,2017,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,41.2,41.2 [34.9-47.6],34.9,47.6
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),,2000,2000,2000,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,38.88143,38.9 [30.8-47.1],30.77644,47.06818
tfr,Total fertility rate (per woman),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE08,Decile 8,4.69626,4.7 [4.3-5.2],4.26926,5.16574
NUT_CF_ZVF,"Zero vegetable or fruit consumption, 6-23 months",,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_WEALTH_TOP60,Wealth - Top 60%,61.0,61.0 [56.9-65.0],56.9,65.0
carep,Children aged < 5 years with pneumonia symptoms taken to a health facility (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE05,Decile 5,56.76833,56.8 [48.2-65.0],48.19381,64.95564
VIOLENCE_HOMICIDENUM,Estimates of number of homicides,,2006,2006,2006,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,2313.896,2314 [1587-3370],1586.786,3369.787
itnwm,Pregnant women sleeping under insecticide-treated nets (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201401,northern,,No data,,
TB_e_mort_exc_tbhiv_num,"Number of deaths due to tuberculosis, excluding HIV",,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,,,,8000.0,8000 [4100-13000],4100.0,13000.0
NTD_LEISHVNUM,Number of cases of visceral leishmaniasis reported,,2011,2011,2011,EMR,Eastern Mediterranean,SDN,Sudan,,,,7418.0,7418,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),,1997,1997,1997,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,38.28711,38.3 [30.0-46.9],30.01477,46.90679
WHS4_106,Care-seeking for children with symptoms of acute respiratory infection (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ2,Q2,52.1,52.1,,
vmsl,Measles immunization coverage among one-year-olds (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,EDUCATIONLEVEL,EDUCATIONLEVEL_PRLM,Primary,81.96974,82.0 [77.9-85.4],77.94626,85.39671
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,,No data,,
IR_CARBAMATE_EXTENT,Percentage of sites for which carbamate resistance was reported,,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,,,,57.0,57,,
csection,Births by caesarean section (in the two or three years preceding the survey) (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201008,white nile,9.49813,9.5 [5.6-15.6],5.61213,15.62935
CHILDMORT10TO19,Adolescent mortality rate (per 1 000 age specific cohort),,2011,2011,2011,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,14.5069,14.51 [10.1-20.03],10.09836,20.02932
SA_0000001712,Community-based interventions/projects involving stakeholders,,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,,,,,.,,
IR_CARBAMATE_EXTENT,Percentage of sites for which carbamate resistance was reported,,2009,2009,2009,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.0,0,,
IR_PYRETHROID_EXTENT,Percentage of sites for which pyrethroid resistance was reported,,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Not tested/reported,,
VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,9.46577,9.5 [7.4-12.6],7.36023,12.57189
SA_0000001400_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",,2007,2007,2007,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,Spirits,0.29,0.29,,
NUTRITION_ANAEMIA_PREGNANT_PREV,Prevalence of anaemia in pregnant women (aged 15-49) (%),,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,SEVERITY,SEVERITY_MILD,Mild,21.2,21.2 [12.7-28.4],12.7,28.4
SA_0000001400_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",,2005,2005,2005,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,All types,1.55,1.55,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,1990,1990,1990,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,,No data,,
NTD_LEISHVNUM,Number of cases of visceral leishmaniasis reported,,2018,2018,2018,EMR,Eastern Mediterranean,SDN,Sudan,,,,2711.0,2711,,
Rev_type,Annual tax revenues - tobacco products included,,2017,2017,2017,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Cigarettes only,,
E15a_sponsorship,Complete ban on sponsorship,,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No,,
sevwast5,Severe wasting prevalence in children aged < 5 years (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE03,Decile 3,,No data,,
sevwast5,Severe wasting prevalence in children aged < 5 years (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE02,Decile 2,,No data,,
PCV3,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,2022,2022,2022,EMR,Eastern Mediterranean,SDN,Sudan,,,,85.0,85,,
cpmowho,Contraceptive prevalence - use of modern methods (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE05,Decile 5,8.65818,8.7 [6.9-10.8],6.88686,10.83209
anc15,Antenatal care coverage - at least one visit (in the five years preceding the survey) (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201003,red sea,,No data,,
NCD_HYP_TREATMENT_A,"Prevalence of treatment (taking medicine) for hypertension among adults aged 30-79 with hypertension, age-standardized",,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,22.9,22.9 [12.7-35.3],12.7,35.3
SA_0000001400_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",,2002,2002,2002,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,All types,1.59,1.59,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,1981,1981,1981,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,,No data,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,2011,2011,2011,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,,No data,,
csection,Births by caesarean section (in the two or three years preceding the survey) (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE03,Decile 3,1.85543,1.9 [1.0-3.4],1.01497,3.36816
CHILDMORT_DEATHS_10TO14,Number of deaths among children ages 10 to 14 years,,2018,2018,2018,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,2998.0,2 998 [0-7 382],0.0,7382.0
R_admin_tax_stamps_cig,"Tobacco tax administration: Tax stamps, fiscal marks, banderole or other types of marking are applied on cigarettes",,2022,2022,2022,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Yes,,
RSUD_790,Educational attainment in treatment,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,EDUCATIONLEVEL,EDUCATIONLEVEL_TERTIARY,Short-cycle tertiary education,,No,,
RSUD_68,Pharmacotherapy used for the management of alcohol withdrawal,,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,DRUG,DRUG_NEW_ANTIPSYCHOTICS,New antipsychotics,,yes,,
E5_compliance,Compliance of ban on advertising on billboards and outdoor advertising,,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Not available,,
overwgt5,Overweight prevalence in children aged <five years (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201416,south darfur,,No data,,
SA_0000001531_ARCHIVED,On-premise sales restrictions on days,,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,Wine,,Yes,,
W23_emissions_front_back_C,Smokeless tobacco packaging and labelling must display qualitative information on constituents and emissions on one or more of the principal display areas,,2020,2020,2020,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Not applicable,,
NUT_BF_EBF,Exclusive breastfeeding under six months,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_TOTL,Total,54.6,54.6 [50.5-58.6],50.5,58.6
SA_0000001400_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",,1975,1975,1975,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,Beer,1.46,1.46,,
CHILDMORT_MORTALITY_10TO14,Mortality rate among children ages 10 to 14 years (per 1000 children aged 10),,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,5.06115,5.06 [0.34-10.08],0.34268,10.08112
SA_0000001749_ARCHIVED,"Alcohol, total (recorded 3 year average + unrecorded) per capita (15+) consumption (in litres of pure alcohol) with 95%CI",,2010,2008,2010,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,4.8,4.8 [4.1-5.5],4.1,5.5
nmr,Neonatal mortality rate (deaths per 1000 live births),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE09,Decile 9,29.0368,29.0 [18.0-40.1],17.96566,40.10793
R_tax_other,Taxes as a % of price: other taxes,,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_CIGARETTE_MOSTSOLD,Most sold brand of cigarettes (20 sticks),0.0,0,,
cpmt,Contraceptive prevalence - modern and traditional methods (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,AGEGROUP,AGEGROUP_YEARS15-19,15-19 years of age,6.40223,6.4 [4.5-9.0],4.51365,9.00648
wast5,Wasting prevalence in children aged < 5 years (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201415,west darfur,,No data,,
NUT_CF_EFF,Egg and/or Flesh Food Consumption 6-23 months,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_TOTL,Total,39.2,39.2 [36.4-42.0],36.4,42.0
uwgt5,Underweight prevalence in children aged < 5 years (%) (Health inequality monitor),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201411,north kordofan,,No data,,
W23_emissions_front_back_C,Smokeless tobacco packaging and labelling must display qualitative information on constituents and emissions on one or more of the principal display areas,,2022,2022,2022,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Not applicable,,
NCD_HYP_CONTROL_A,"Prevalence of controlled hypertension among adults aged 30-79 years with hypertension, age-standardized",,2000,2000,2000,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,2.1,2.1 [0.6-4.8],0.6,4.8
SA_0000001690,"Age-standardized death rates, cerebrovascular disease, per 100,000",,2004,2004,2004,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,119.2,119.2,,
BP_05,Mean systolic blood pressure (crude estimate),,1998,1998,1998,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,124.8,124.8 [116.7-132.6],116.7,132.6
E22_subnational_authority_exists,"Subnational bans on tobacco advertising, promotion and sponsorship authority exists",,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Yes,,
TB_tot_newrel,Tuberculosis - new and relapse cases,,2009,2009,2009,EMR,Eastern Mediterranean,SDN,Sudan,,,,26001.0,26001,,
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,,2020,2020,2020,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,564.0,564,,
FAMILYPLANNINGUNPDUHC,"Women of reproductive age (15âˆ’49 years) who are married or in-union who have their need for family planning satisfied with modern methods (%), UNPD",,2017,2017,2017,EMR,Eastern Mediterranean,SDN,Sudan,,,,31.51889,31.5,,
TB_c_lab_dst_5m,Laboratories providing drug susceptibility testing (DST) (per 5 million population),,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.1,0.1,,
sevwast5,Severe wasting prevalence in children aged < 5 years (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE04,Decile 4,,No data,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),,1998,1998,1998,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,5.1,5.1 [4.5-5.8],4.5,5.8
csection5,Births by caesarean section (in the five years preceding the survey) (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ3,Q3,,No data,,
E15a_sponsorship,Complete ban on sponsorship,,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,1997,1997,1997,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,,No data,,
TOB_R_PRICE,Retail price for tobacco and nicotine products,,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_CIGARETTE_MOSTSOLD,Most sold brand of cigarettes (20 sticks),,SDG,,
bmi30wm,"Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%)",,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201004,kassala,,No data,,
NCD_BMI_MEAN,Mean BMI (kg/m²) (age-standardized estimate),,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,,No data,,
CHILDMORT10TO19,Adolescent mortality rate (per 1 000 age specific cohort),,2017,2017,2017,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,11.2212,11.22 [8.77-14.4],8.77488,14.40391
sevwast5,Severe wasting prevalence in children aged < 5 years (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201406,khartoum,,No data,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,1986,1986,1986,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,,No data,,
TB_sldst_avail,Second-line drug susceptibility testing (DST) available,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,,,,,"Yes, using laboratories in another country",,
SA_0000001743,"Alcohol-attributable fractions, all-cause deaths (%)",,2016,2016,2016,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,,0.3,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,2009,2009,2009,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,,No data,,
WHS3_45,Number of new leprosy cases,,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,,,,1901.0,1901,,
NUT_CF_ZVF,"Zero vegetable or fruit consumption, 6-23 months",,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ2,Q2,71.9,71.9 [68.2-75.4],68.2,75.4
W21_emissions_A,Cigarette packaging and labelling must not display quantitative information on emission yields (such as tar nicotine and carbon monoxide) including when used as part of a brand name or trademark,,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),,2019,2019,2019,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,625.6681,625.7 [354.5-1036.2],354.4756,1036.201
NCD_HYP_CONTROL_C,"Prevalence of controlled hypertension among adults aged 30-79 years with hypertension, crude",,2006,2006,2006,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,3.4,3.4 [0.8-8.4],0.8,8.4
E1_nat_tv_radio,Ban on advertising: National TV and radio,,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Yes,,
E6b_ban_display_pt_of_sale,Ban on display of tobacco products at points of sale,,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No,,
NUT_BF_EBF,Exclusive breastfeeding under six months,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,EDUCATIONLEVEL,EDUCATIONLEVEL_NHLM,None,51.1,51.1 [45.7-56.6],45.7,56.6
wast5,Wasting prevalence in children aged < 5 years (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201401,northern,,No data,,
BP_05,Mean systolic blood pressure (crude estimate),,2005,2005,2005,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,126.2,126.2 [118.2-134.0],118.2,134.0
CHOLERA_0000000003,Cholera case fatality rate,,1999,1999,1999,EMR,Eastern Mediterranean,SDN,Sudan,,,,,0,,
TB_notif_num_newrel_clindx,Number of people diagnosed with new episode of pulmonary TB who are clinically diagnosed.,,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_CDPTB,Clinically diagnosed pulmonary TB,7849.0,7849,,
bfearly,Early initiation of breastfeeding (in the two years preceding the survey) (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201013,north darfur,63.30399,63.3 [56.3-69.8],56.25893,69.823
